                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.34319,                0.22997,                0.78033,                0.99964,                      1,                  0.995,                0.98576,                0.21081,                0.16047,                0.76805,                0.00307,                0.00307,                0.00307
                     72,                0.33426,                0.22978,                0.78151,                0.99981,                      1,                  0.995,                0.97849,                0.24492,                0.16901,                0.76873,               0.002971,               0.002971,               0.002971
                     73,                0.34236,                0.22837,                0.78001,                0.99988,                      1,                  0.995,                0.97854,                0.22843,                 0.1652,                0.76847,               0.002872,               0.002872,               0.002872
                     74,                 0.3341,                0.22627,                0.77878,                0.99982,                      1,                  0.995,                0.98653,                0.21411,                0.15994,                0.76759,               0.002773,               0.002773,               0.002773
                     75,                0.33067,                0.22592,                0.77647,                0.99982,                      1,                  0.995,                0.98611,                0.21323,                0.15539,                0.76763,               0.002674,               0.002674,               0.002674
                     76,                0.32421,                0.22201,                0.77739,                0.99984,                      1,                  0.995,                  0.984,                 0.2145,                0.15672,                0.76774,               0.002575,               0.002575,               0.002575
                     77,                0.32569,                0.22205,                0.77934,                0.99983,                      1,                  0.995,                0.98283,                0.21097,                0.15504,                0.76719,               0.002476,               0.002476,               0.002476
                     78,                0.32412,                0.22216,                0.77833,                0.99983,                      1,                  0.995,                0.98509,                0.21482,                0.15878,                0.76799,               0.002377,               0.002377,               0.002377
                     79,                0.31674,                0.21783,                0.77706,                0.99984,                      1,                  0.995,                0.98406,                0.22553,                0.16136,                0.76846,               0.002278,               0.002278,               0.002278
                     80,                0.31986,                0.21798,                0.77731,                0.99983,                      1,                  0.995,                 0.9842,                0.21096,                0.15583,                0.76788,               0.002179,               0.002179,               0.002179
                     81,                0.31325,                0.21699,                0.77662,                0.99985,                      1,                  0.995,                0.98503,                0.20752,                0.15363,                0.76722,                0.00208,                0.00208,                0.00208
                     82,                0.31221,                0.21404,                0.77621,                0.99984,                      1,                  0.995,                0.98612,                0.20418,                0.15212,                 0.7672,               0.001981,               0.001981,               0.001981
                     83,                0.30696,                0.21185,                0.77702,                0.99977,                      1,                  0.995,                0.98649,                0.20439,                0.15212,                0.76674,               0.001882,               0.001882,               0.001882
                     84,                0.30892,                0.21099,                0.77623,                0.99973,                      1,                  0.995,                0.98657,                0.21333,                0.15186,                0.76675,               0.001783,               0.001783,               0.001783
                     85,                0.29936,                0.20638,                0.77392,                0.99976,                      1,                  0.995,                0.98552,                0.20963,                0.15358,                0.76744,               0.001684,               0.001684,               0.001684
